strategy_id,timeframe,status,before_trade_count,after_trade_count,before_net_profit,after_net_profit,before_return_percent,after_return_percent,before_win_rate,after_win_rate,before_max_drawdown,after_max_drawdown,geometry_fields_available,uses_profit_curve_tuning,paper_gate_evidence_now,notes
M10-PA-005,1d,reject_for_now_after_geometry_review,1481,1188,-34130.96,-22855.77,-8.5327,-5.7139,0.3201,0.3232,85559.02,65578.87,true,false,false,"M12.10 persists range geometry fields for review, but M10.9 cleaned metrics remain weak or blocker-bearing; keep rejected for now."
M10-PA-005,1h,reject_for_now_after_geometry_review,1469,950,-613.09,4527.65,-0.1533,1.1319,0.3302,0.3305,60231.57,36366.79,true,false,false,"M12.10 persists range geometry fields for review, but M10.9 cleaned metrics remain weak or blocker-bearing; keep rejected for now."
M10-PA-005,15m,reject_for_now_after_geometry_review,7511,2966,50820.21,14707.57,12.7051,3.6769,0.3474,0.3422,113914.37,73311.91,true,false,false,"M12.10 persists range geometry fields for review, but M10.9 cleaned metrics remain weak or blocker-bearing; keep rejected for now."
M10-PA-005,5m,reject_for_now_after_geometry_review,23881,8007,-163742.05,-107134.41,-40.9355,-26.7836,0.3397,0.3318,257549.22,134862.81,true,false,false,"M12.10 persists range geometry fields for review, but M10.9 cleaned metrics remain weak or blocker-bearing; keep rejected for now."
M10-PA-004,,visual_only_not_backtestable_without_manual_labels,,,,,,,,,,,false,false,false,"Visual case evidence exists, but required geometry labels are not executable from OHLCV without a new detector or manual labeling."
M10-PA-007,,visual_only_not_backtestable_without_manual_labels,,,,,,,,,,,false,false,false,"Visual case evidence exists, but required geometry labels are not executable from OHLCV without a new detector or manual labeling."
