regime,closed_trades,total_pnl_r,cash_net_pnl,profit_factor,max_drawdown_r
range_high_vol,2,4.0000,299.0100,,0.0000
range_low_vol,14,-5.0000,-212.6350,0.5455,6.0000
trend_down,1,-1.0000,-9.3100,0.0000,1.0000
trend_up,5,4.0000,280.2800,3.0000,1.0000
