window_index,is_start,is_end,oos_start,oos_end,closed_trades,total_pnl_r,win_rate,profit_factor,max_drawdown_r,cash_net_pnl,cash_max_drawdown,r_cash_sign_consistency
1,2025-04-01,2025-09-22,2025-09-23,2025-11-17,1267,50.0000,0.3465,1.0604,53.0000,5180.6260,2142.4550,consistent_sign
2,2025-04-30,2025-10-20,2025-10-21,2025-12-16,1228,-46.0000,0.3208,0.9448,92.0000,90.2300,5386.2660,inconsistent_sign
3,2025-05-29,2025-11-17,2025-11-18,2026-01-15,1187,-92.0000,0.3075,0.8881,109.0000,-3582.1840,4634.1070,consistent_sign
4,2025-06-27,2025-12-16,2025-12-17,2026-02-13,1222,89.0000,0.3576,1.1134,38.0000,8119.2860,2025.5910,consistent_sign
