variant_id,variant_title,symbol,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown_percent,average_holding_bars,max_consecutive_losses
baseline,M12.12 简化版,SNOW,100000.00,92166.18,-7833.82,-7.83,305,33.44,0.92,11.40,4.81,14
baseline,M12.12 简化版,PLTR,100000.00,104834.58,4834.58,4.83,328,36.28,1.05,11.51,4.99,9
baseline,M12.12 简化版,PANW,100000.00,136791.36,36791.36,36.79,731,38.44,1.17,7.89,5.16,12
pullback_guard,只加长回调保护,SPY,100000.00,113683.79,13683.79,13.68,548,37.04,1.08,10.91,4.83,12
pullback_guard,只加长回调保护,QQQ,100000.00,138547.58,38547.58,38.55,560,40.00,1.23,5.29,4.86,13
pullback_guard,只加长回调保护,IWM,100000.00,80111.87,-19888.13,-19.89,474,32.07,0.87,25.26,4.76,13
pullback_guard,只加长回调保护,DIA,100000.00,115813.89,15813.89,15.81,500,37.80,1.10,13.47,4.90,14
pullback_guard,只加长回调保护,VTI,100000.00,113752.69,13752.69,13.75,544,37.13,1.08,10.70,4.70,13
pullback_guard,只加长回调保护,VOO,100000.00,117881.69,17881.69,17.88,549,37.34,1.10,8.91,4.43,10
pullback_guard,只加长回调保护,IVV,100000.00,121525.27,21525.27,21.53,565,37.88,1.12,8.80,4.52,13
pullback_guard,只加长回调保护,XLK,100000.00,122662.58,22662.58,22.66,546,37.91,1.13,9.85,4.88,13
pullback_guard,只加长回调保护,XLF,100000.00,84065.56,-15934.44,-15.93,419,33.41,0.88,20.06,4.84,11
pullback_guard,只加长回调保护,XLE,100000.00,101678.17,1678.17,1.68,433,36.26,1.01,9.82,4.50,12
pullback_guard,只加长回调保护,XLV,100000.00,125705.92,25705.92,25.71,463,39.09,1.18,16.76,5.04,16
pullback_guard,只加长回调保护,XLY,100000.00,111803.20,11803.20,11.80,519,37.19,1.07,14.43,4.71,13
pullback_guard,只加长回调保护,XLI,100000.00,113761.42,13761.42,13.76,481,37.63,1.09,12.13,4.88,22
pullback_guard,只加长回调保护,XLP,100000.00,118182.26,18182.26,18.18,492,37.80,1.12,13.27,5.04,17
pullback_guard,只加长回调保护,XLU,100000.00,85806.60,-14193.40,-14.19,484,32.23,0.91,19.87,4.50,15
pullback_guard,只加长回调保护,XLC,100000.00,94343.48,-5656.52,-5.66,274,33.94,0.94,15.55,4.74,15
pullback_guard,只加长回调保护,XLB,100000.00,90717.11,-9282.89,-9.28,451,34.15,0.94,16.18,4.68,13
pullback_guard,只加长回调保护,SMH,100000.00,92405.13,-7594.87,-7.59,436,34.17,0.95,16.91,4.10,14
pullback_guard,只加长回调保护,SOXX,100000.00,112686.78,12686.78,12.69,518,36.87,1.08,11.57,4.31,10
pullback_guard,只加长回调保护,TQQQ,100000.00,128322.70,28322.70,28.32,532,38.91,1.18,8.38,4.78,11
pullback_guard,只加长回调保护,SQQQ,100000.00,138421.90,38421.90,38.42,565,39.65,1.23,7.33,5.19,14
pullback_guard,只加长回调保护,GLD,100000.00,141326.51,41326.51,41.33,381,44.09,1.40,5.49,4.91,11
pullback_guard,只加长回调保护,SLV,100000.00,139715.91,39715.91,39.72,327,46.48,1.46,6.89,4.63,9
pullback_guard,只加长回调保护,USO,100000.00,151110.23,51110.23,51.11,449,43.43,1.41,7.92,4.89,11
pullback_guard,只加长回调保护,TLT,100000.00,108203.22,8203.22,8.20,394,38.58,1.07,9.24,4.29,12
pullback_guard,只加长回调保护,HYG,100000.00,107997.62,7997.62,8.00,460,36.96,1.06,13.55,4.22,14
pullback_guard,只加长回调保护,LQD,100000.00,146030.51,46030.51,46.03,462,43.94,1.36,4.81,4.51,8
pullback_guard,只加长回调保护,EEM,100000.00,113135.81,13135.81,13.14,419,39.14,1.10,10.84,3.95,12
pullback_guard,只加长回调保护,EFA,100000.00,136025.08,36025.08,36.03,438,43.61,1.30,5.88,4.20,8
pullback_guard,只加长回调保护,ARKK,100000.00,100019.93,19.93,0.02,339,35.10,1.00,20.02,4.67,14
pullback_guard,只加长回调保护,AAPL,100000.00,133055.62,33055.62,33.06,489,39.88,1.23,6.90,4.59,10
pullback_guard,只加长回调保护,MSFT,100000.00,102050.05,2050.05,2.05,445,36.18,1.01,16.92,4.79,12
pullback_guard,只加长回调保护,NVDA,100000.00,119506.79,19506.79,19.51,455,37.80,1.14,13.49,4.77,12
pullback_guard,只加长回调保护,AMZN,100000.00,121650.26,21650.26,21.65,482,37.97,1.15,10.02,4.94,16
pullback_guard,只加长回调保护,GOOGL,100000.00,121135.70,21135.70,21.14,459,38.13,1.15,9.73,5.20,10
pullback_guard,只加长回调保护,GOOG,100000.00,112312.85,12312.85,12.31,355,37.46,1.11,9.35,5.13,14
pullback_guard,只加长回调保护,META,100000.00,84735.42,-15264.58,-15.26,379,32.19,0.88,25.32,5.24,13
pullback_guard,只加长回调保护,TSLA,100000.00,106493.29,6493.29,6.49,421,35.39,1.05,14.20,5.18,12
pullback_guard,只加长回调保护,AVGO,100000.00,82315.06,-17684.94,-17.68,449,33.41,0.88,31.76,4.73,13
pullback_guard,只加长回调保护,AMD,100000.00,139031.29,39031.29,39.03,421,40.38,1.32,9.23,5.13,12
pullback_guard,只加长回调保护,INTC,100000.00,117826.15,17826.15,17.83,467,37.90,1.13,12.51,4.78,12
pullback_guard,只加长回调保护,MU,100000.00,135631.72,35631.72,35.63,416,40.87,1.30,10.38,4.85,16
pullback_guard,只加长回调保护,QCOM,100000.00,89565.14,-10434.86,-10.43,412,33.74,0.92,26.70,4.64,12
pullback_guard,只加长回调保护,ORCL,100000.00,120837.25,20837.25,20.84,447,38.70,1.15,10.59,4.69,13
