variant_id,variant_title,symbol,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown_percent,average_holding_bars,max_consecutive_losses
full_v02,完整多来源增强版,SQQQ,100000.00,97161.98,-2838.02,-2.84,110,36.36,0.92,11.10,9.07,7
full_v02,完整多来源增强版,GLD,100000.00,105360.59,5360.59,5.36,61,39.34,1.30,5.79,7.98,12
full_v02,完整多来源增强版,SLV,100000.00,103509.94,3509.94,3.51,42,40.48,1.31,6.35,9.24,7
full_v02,完整多来源增强版,USO,100000.00,113659.40,13659.40,13.66,64,51.56,1.92,2.38,8.81,5
full_v02,完整多来源增强版,TLT,100000.00,94269.83,-5730.17,-5.73,44,29.55,0.62,8.10,9.23,17
full_v02,完整多来源增强版,HYG,100000.00,93533.45,-6466.55,-6.47,58,29.31,0.68,8.65,7.97,8
full_v02,完整多来源增强版,LQD,100000.00,104219.94,4219.94,4.22,61,40.98,1.25,4.26,9.70,7
full_v02,完整多来源增强版,EEM,100000.00,99249.48,-750.52,-0.75,56,33.93,0.96,7.21,7.39,12
full_v02,完整多来源增强版,EFA,100000.00,99143.73,-856.27,-0.86,52,36.54,0.94,4.36,8.75,5
full_v02,完整多来源增强版,ARKK,100000.00,99377.60,-622.40,-0.62,56,35.71,0.96,7.09,8.57,11
full_v02,完整多来源增强版,AAPL,100000.00,102510.04,2510.04,2.51,86,37.21,1.10,5.39,9.36,6
full_v02,完整多来源增强版,MSFT,100000.00,89301.86,-10698.14,-10.70,60,25.00,0.50,12.50,9.50,13
full_v02,完整多来源增强版,NVDA,100000.00,98102.88,-1897.12,-1.90,61,36.07,0.90,4.53,9.95,8
full_v02,完整多来源增强版,AMZN,100000.00,105496.57,5496.57,5.50,63,41.27,1.32,7.62,10.19,15
full_v02,完整多来源增强版,GOOGL,100000.00,97703.22,-2296.78,-2.30,58,36.21,0.87,6.54,10.03,8
full_v02,完整多来源增强版,GOOG,100000.00,95820.34,-4179.66,-4.18,44,29.55,0.71,6.08,9.11,12
full_v02,完整多来源增强版,META,100000.00,94994.34,-5005.66,-5.01,43,27.91,0.67,7.65,9.72,12
full_v02,完整多来源增强版,TSLA,100000.00,100459.93,459.93,0.46,60,38.33,1.03,5.47,10.58,4
full_v02,完整多来源增强版,AVGO,100000.00,100458.92,458.92,0.46,56,37.50,1.03,4.36,8.91,9
full_v02,完整多来源增强版,AMD,100000.00,108807.95,8807.95,8.81,73,45.21,1.47,3.54,10.78,5
full_v02,完整多来源增强版,INTC,100000.00,110192.53,10192.53,10.19,65,49.23,1.64,3.50,10.58,5
full_v02,完整多来源增强版,MU,100000.00,104881.38,4881.38,4.88,53,45.28,1.34,3.36,10.23,6
full_v02,完整多来源增强版,QCOM,100000.00,99659.67,-340.33,-0.34,47,38.30,0.98,6.40,9.60,6
full_v02,完整多来源增强版,ORCL,100000.00,92333.40,-7666.60,-7.67,64,31.25,0.64,11.28,9.52,12
full_v02,完整多来源增强版,CRM,100000.00,84691.40,-15308.60,-15.31,63,22.22,0.37,17.78,9.65,12
full_v02,完整多来源增强版,ADBE,100000.00,96152.08,-3847.92,-3.85,75,34.67,0.84,8.90,10.04,9
full_v02,完整多来源增强版,NOW,100000.00,95612.81,-4387.19,-4.39,43,25.58,0.71,9.14,8.21,19
full_v02,完整多来源增强版,SNOW,100000.00,92476.57,-7523.43,-7.52,21,19.05,0.07,7.62,7.76,10
full_v02,完整多来源增强版,PLTR,100000.00,99220.19,-779.81,-0.78,16,37.50,0.84,2.55,9.38,5
full_v02,完整多来源增强版,PANW,100000.00,99752.95,-247.05,-0.25,43,39.53,0.98,4.41,11.91,9
