variant_id,variant_title,plain_rule,entry_mode,source_fields,source_refs,symbol,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown_percent,average_holding_bars,max_consecutive_losses,profitable_symbol_count,losing_symbol_count,top3_profit_share_percent,per_symbol_stability,overfit_concentration
baseline,M12.12 简化版,沿用 M12.12 当前规则，作为对照组。,next_open,行情背景 / 信号K质量 / 止损和目标,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008A_candles_setups_signal_bars_trend_tr_entry_bad_signal.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_012A_market_cycle_four_parts_pullback_channel_trading_range.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015D_breakouts_second_leg_traps_strong_breakouts.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_020A_measured_moves_leg1_equals_leg2_prior_leg.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_034A_actual_risk_traders_equation_profit_targets.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf | reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-014.json | reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-015.json | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,ALL,100000.00,845131.37,745131.37,745.13,41030,36.74,1.06,49.04,4.76,65,36,14,19.37,分散较好,low
pullback_guard,只加长回调保护,当回调拖得太久时，不再把顺势信号K当普通趋势恢复。,next_open,长回调保护,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md | raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf | wiki:knowledge/wiki/sources/fangfangtu-pullback-counting-bars-note.md,ALL,100000.00,710436.76,610436.76,610.44,22184,37.36,1.09,48.38,4.77,56,36,14,17.98,分散较好,low
follow_through_confirm,只加1-2根K线跟进确认,信号K后必须在1-2根K线内出现同向跟进，否则跳过。,confirmation_close,入场确认,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015B_breakouts_follow_through_reversal_small_start.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015D_breakouts_second_leg_traps_strong_breakouts.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,ALL,100000.00,-79502.05,-179502.05,-179.50,20747,36.46,0.97,154.82,9.34,67,21,29,36.51,收益集中，需观察,medium
context_signal_quality,行情背景 + 信号K质量,要求更清楚的趋势背景和更强的信号K，过滤震荡里的强K线。,next_open,行情背景 / 信号K质量,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008A_candles_setups_signal_bars_trend_tr_entry_bad_signal.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_012A_market_cycle_four_parts_pullback_channel_trading_range.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015D_breakouts_second_leg_traps_strong_breakouts.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,ALL,100000.00,388220.02,288220.02,288.22,14445,36.66,1.06,64.08,5.05,58,36,14,17.99,分散较好,low
full_v02,完整多来源增强版,同时使用长回调保护、跟进确认、背景分类、信号K质量和更高周期近似过滤。,confirmation_close,行情背景 / 信号K质量 / 更高周期一致性 / 长回调保护 / 入场确认 / 止损和目标,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008A_candles_setups_signal_bars_trend_tr_entry_bad_signal.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_012A_market_cycle_four_parts_pullback_channel_trading_range.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015B_breakouts_follow_through_reversal_small_start.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_015D_breakouts_second_leg_traps_strong_breakouts.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_020A_measured_moves_leg1_equals_leg2_prior_leg.md | raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_034A_actual_risk_traders_equation_profit_targets.md | raw:knowledge/raw/notes/方方土视频笔记 - 信号K线 & 入场.pdf | raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf | raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf | reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-014.json | reports/strategy_lab/m10_price_action_strategy_refresh/source_ledgers/M10-PA-015.json | wiki:knowledge/wiki/sources/fangfangtu-market-cycle-note.md | wiki:knowledge/wiki/sources/fangfangtu-price-action-transcript.md | wiki:knowledge/wiki/sources/fangfangtu-pullback-counting-bars-note.md | wiki:knowledge/wiki/sources/fangfangtu-signal-bar-entry-note.md,ALL,100000.00,23970.99,-76029.01,-76.03,3182,35.17,0.92,99.94,9.37,32,16,34,39.75,收益集中，需观察,medium
