time_bucket,closed_trades,total_pnl_r,cash_net_pnl,profit_factor,conversion_rate
open_hour,20,-11.0000,-585.8330,0.3529,0.0016
midday,76,-10.0000,-625.7840,0.8148,0.0020
late_day,61,-4.0000,199.0950,0.9048,0.0019
