window_index,is_start,is_end,oos_start,oos_end,closed_trades,total_pnl_r,win_rate,profit_factor,max_drawdown_r,cash_net_pnl,cash_max_drawdown,r_cash_sign_consistency
1,2025-04-01,2025-09-22,2025-09-23,2025-11-17,171,-3.0000,0.3275,0.9739,29.0000,70.7520,725.4690,inconsistent_sign
2,2025-04-30,2025-10-20,2025-10-21,2025-12-16,193,-7.0000,0.3212,0.9466,18.0000,-255.0570,1042.4980,consistent_sign
3,2025-05-29,2025-11-17,2025-11-18,2026-01-15,176,-11.0000,0.3125,0.9091,16.0000,-819.2390,953.0570,consistent_sign
4,2025-06-27,2025-12-16,2025-12-17,2026-02-13,187,-7.0000,0.3209,0.9449,23.0000,-461.8550,1047.4580,consistent_sign
