window_index,is_start,is_end,oos_start,oos_end,closed_trades,total_pnl_r,win_rate,profit_factor,max_drawdown_r,cash_net_pnl,cash_max_drawdown,r_cash_sign_consistency
1,2025-04-01,2025-09-22,2025-09-23,2025-11-17,155,-14.0000,0.3032,0.8704,25.0000,-1430.2320,1763.9610,consistent_sign
2,2025-04-30,2025-10-20,2025-10-21,2025-12-16,149,-14.0000,0.3020,0.8654,23.0000,-2025.4470,2547.3940,consistent_sign
3,2025-05-29,2025-11-17,2025-11-18,2026-01-15,137,-14.0000,0.2993,0.8542,23.0000,-1097.4880,1777.3440,consistent_sign
4,2025-06-27,2025-12-16,2025-12-17,2026-02-13,150,21.0000,0.3800,1.2258,13.0000,1398.5130,806.6790,consistent_sign
