trade_id,session_key,split,direction,filter_state,breakout_timestamp,follow_through_timestamp,entry_timestamp,exit_timestamp,time_bucket,raw_entry_price,executed_entry_price,stop_price,target_price,exit_price,executed_exit_price,risk_per_share,quantity,pnl_per_share,pnl_cash,pnl_r,equity_after_close,exit_reason
PA-SC-002-2026-02-23-01,2026-02-23,in_sample,short,neutral,2026-02-23T10:00:00-05:00,2026-02-23T10:05:00-05:00,2026-02-23T10:10:00-05:00,2026-02-23T10:55:00-05:00,open_0930_1100,684.9400,684.8615,687.2400,682.6400,682.6400,682.7183,2.3000,36,2.1432,77.1552,0.9318,25077.1552,target_hit
PA-SC-002-2026-02-23-02,2026-02-23,in_sample,short,neutral,2026-02-23T13:50:00-05:00,2026-02-23T13:55:00-05:00,2026-02-23T14:00:00-05:00,2026-02-23T14:40:00-05:00,late_1330_1600,682.0200,681.9418,683.2900,680.7500,680.7500,680.8281,1.2700,36,1.1137,40.0932,0.8769,25117.2484,target_hit
PA-SC-002-2026-02-24-01,2026-02-24,in_sample,long,neutral,2026-02-24T10:20:00-05:00,2026-02-24T10:25:00-05:00,2026-02-24T10:30:00-05:00,2026-02-24T15:55:00-05:00,open_0930_1100,686.3200,686.3986,684.0300,688.6100,687.3750,687.2963,2.2900,36,0.8977,32.3172,0.3920,25149.5656,session_close
PA-SC-002-2026-02-25-01,2026-02-25,in_sample,long,neutral,2026-02-25T14:00:00-05:00,2026-02-25T14:05:00-05:00,2026-02-25T14:10:00-05:00,2026-02-25T15:45:00-05:00,late_1330_1600,692.9300,693.0093,692.4700,693.3900,693.3900,693.3107,0.4600,36,0.3014,10.8504,0.6552,25160.4160,target_hit
PA-SC-002-2026-02-26-01,2026-02-26,in_sample,short,neutral,2026-02-26T10:20:00-05:00,2026-02-26T10:30:00-05:00,2026-02-26T10:35:00-05:00,2026-02-26T10:40:00-05:00,open_0930_1100,684.6200,684.5415,686.9900,682.2500,686.9900,687.0687,2.3700,36,-2.5272,-90.9792,-1.0663,25069.4368,stop_hit
PA-SC-002-2026-02-26-02,2026-02-26,in_sample,long,neutral,2026-02-26T14:05:00-05:00,2026-02-26T14:15:00-05:00,2026-02-26T14:20:00-05:00,2026-02-26T15:55:00-05:00,late_1330_1600,688.9800,689.0589,687.8100,690.1500,689.3200,689.2411,1.1700,36,0.1822,6.5592,0.1557,25075.9960,session_close
PA-SC-002-2026-02-27-01,2026-02-27,in_sample,long,neutral,2026-02-27T15:15:00-05:00,2026-02-27T15:20:00-05:00,2026-02-27T15:25:00-05:00,2026-02-27T15:35:00-05:00,late_1330_1600,685.8400,685.9186,685.1100,686.5700,685.1100,685.0315,0.7300,36,-0.8871,-31.9356,-1.2152,25044.0604,stop_hit
PA-SC-002-2026-03-02-01,2026-03-02,in_sample,long,neutral,2026-03-02T10:00:00-05:00,2026-03-02T10:10:00-05:00,2026-03-02T10:15:00-05:00,2026-03-02T14:15:00-05:00,open_0930_1100,684.9350,685.0135,682.3900,687.4800,687.4800,687.4013,2.5450,36,2.3878,85.9608,0.9382,25130.0212,target_hit
PA-SC-002-2026-03-03-01,2026-03-03,in_sample,long,neutral,2026-03-03T13:30:00-05:00,2026-03-03T13:35:00-05:00,2026-03-03T13:40:00-05:00,2026-03-03T14:30:00-05:00,late_1330_1600,681.3500,681.4281,679.6600,683.0400,679.6600,679.5820,1.6900,36,-1.8461,-66.4596,-1.0924,25063.5616,stop_hit
PA-SC-002-2026-03-04-01,2026-03-04,in_sample,long,neutral,2026-03-04T10:05:00-05:00,2026-03-04T10:15:00-05:00,2026-03-04T10:20:00-05:00,2026-03-04T15:55:00-05:00,open_0930_1100,684.4600,684.5384,681.3600,687.5600,685.1650,685.0865,3.1000,32,0.5481,17.5392,0.1768,25081.1008,session_close
PA-SC-002-2026-03-05-01,2026-03-05,in_sample,long,neutral,2026-03-05T15:00:00-05:00,2026-03-05T15:10:00-05:00,2026-03-05T15:15:00-05:00,2026-03-05T15:50:00-05:00,late_1330_1600,678.8300,678.9079,676.3800,681.2800,681.2800,681.2019,2.4500,36,2.2940,82.5840,0.9363,25163.6848,target_hit
PA-SC-002-2026-03-06-01,2026-03-06,in_sample,short,neutral,2026-03-06T15:10:00-05:00,2026-03-06T15:20:00-05:00,2026-03-06T15:25:00-05:00,2026-03-06T15:55:00-05:00,late_1330_1600,672.9400,672.8627,675.1100,670.7700,672.4900,672.5672,2.1700,37,0.2955,10.9335,0.1362,25174.6183,session_close
PA-SC-002-2026-03-09-01,2026-03-09,in_sample,long,neutral,2026-03-09T10:35:00-04:00,2026-03-09T10:40:00-04:00,2026-03-09T10:45:00-04:00,2026-03-09T11:15:00-04:00,open_0930_1100,666.9100,666.9867,664.7500,669.0700,669.0700,668.9931,2.1600,37,2.0064,74.2368,0.9289,25248.8551,target_hit
PA-SC-002-2026-03-09-02,2026-03-09,in_sample,short,neutral,2026-03-09T13:35:00-04:00,2026-03-09T13:40:00-04:00,2026-03-09T13:45:00-04:00,2026-03-09T13:45:00-04:00,late_1330_1600,668.2400,668.1632,669.0100,667.4700,669.0100,669.0869,0.7700,37,-0.9237,-34.1769,-1.1996,25214.6782,stop_hit
PA-SC-002-2026-03-10-01,2026-03-10,in_sample,long,neutral,2026-03-10T10:30:00-04:00,2026-03-10T10:35:00-04:00,2026-03-10T10:40:00-04:00,2026-03-10T11:00:00-04:00,open_0930_1100,679.5700,679.6480,677.6200,681.5200,681.5200,681.4418,1.9500,37,1.7938,66.3706,0.9199,25281.0488,target_hit
