event_id,symbol,event_date,next_session_date,event_move_percent,event_direction,price_confirmation_found,decision,paper_simulated_only,broker_connection,real_orders,live_execution,strategy_id,strategy_title,timeframe,direction,signal_time,hypothetical_entry_price,hypothetical_stop_price,hypothetical_target_price,simulated_intraday_pnl,plain_result
alphabet-q1-2026-earnings-postmarket,GOOG,2026-04-29,2026-04-30,7.05,positive,true,enter_observation_queue,true,false,false,false,M10-PA-012,开盘区间突破,5m,看跌,2026-04-30T10:35:00,363.1800,374.2210,352.7190,-376.32,财报跳空后次日出现价格确认候选，只进入观察队列。
alphabet-q1-2026-earnings-postmarket,GOOGL,2026-04-29,2026-04-30,7.17,positive,true,enter_observation_queue,true,false,false,false,M10-PA-012,开盘区间突破,5m,看跌,2026-04-30T10:30:00,366.8000,377.0300,356.9500,-388.32,财报跳空后次日出现价格确认候选，只进入观察队列。
