bucket,candidate_schema_version,candidate_status,data_checksum,data_lineage,data_path,direction,hypothetical_entry_price,hypothetical_quantity,hypothetical_stop_price,hypothetical_target_price,is_current_scan_date,latest_price,latest_price_source,notes,queue_action,review_status,risk_level,signal_date,signal_time,simulated_context,simulated_intraday_pnl,simulated_intraday_return_percent,simulated_state,source_refs,spec_ref,strategy_id,strategy_title,symbol,timeframe
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,8c6f5c104291d7b80310bc9bf70c911a173fc41d244e8698a1069fc635938b4a,derived_from_5m_current,local_data/longbridge_intraday/us_GOOGL_5m_2026-04-28_2026-04-28_longbridge.csv,看涨,350.2300,121.6545,346.1200,353.7100,true,349.78,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-28,2026-04-28T10:10:00,readonly_observation_candidate,-54.74,-0.05,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,GOOGL,15m
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,8c6f5c104291d7b80310bc9bf70c911a173fc41d244e8698a1069fc635938b4a,native_current_session_5m_cache,local_data/longbridge_intraday/us_GOOGL_5m_2026-04-28_2026-04-28_longbridge.csv,看涨,350.1500,124.0695,346.1200,353.6300,true,349.78,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-28,2026-04-28T10:05:00,readonly_observation_candidate,-45.91,-0.05,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,GOOGL,5m
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,bb8538cde43085dc28bcd85988bcc239d8be9d44c80c0248c94468d130398a4c,derived_from_5m_current,local_data/longbridge_intraday/us_GOOG_5m_2026-04-28_2026-04-28_longbridge.csv,看涨,347.9500,136.2398,344.2800,351.3900,true,347.50,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-28,2026-04-28T10:10:00,readonly_observation_candidate,-61.31,-0.06,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,GOOG,15m
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,bb8538cde43085dc28bcd85988bcc239d8be9d44c80c0248c94468d130398a4c,native_current_session_5m_cache,local_data/longbridge_intraday/us_GOOG_5m_2026-04-28_2026-04-28_longbridge.csv,看涨,347.8600,139.6648,344.2800,351.3000,true,347.50,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-28,2026-04-28T10:05:00,readonly_observation_candidate,-50.28,-0.05,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,GOOG,5m
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,4362fce2df474e2bb82434ca605d585bf20603a0f8cc77e895509441a7ab816f,derived_from_5m_current,local_data/longbridge_intraday/us_META_5m_2026-04-28_2026-04-28_longbridge.csv,看跌,668.3500,50.8647,678.1800,660.0600,true,671.34,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-28,2026-04-28T10:55:00,readonly_observation_candidate,-152.09,-0.15,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,META,15m
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,4362fce2df474e2bb82434ca605d585bf20603a0f8cc77e895509441a7ab816f,native_current_session_5m_cache,local_data/longbridge_intraday/us_META_5m_2026-04-28_2026-04-28_longbridge.csv,看跌,669.2450,55.9597,678.1800,660.9550,true,671.34,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,medium,2026-04-28,2026-04-28T10:35:00,readonly_observation_candidate,-117.24,-0.12,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,META,5m
今日新扫描机会,m12.scanner-candidate.v1,watch_candidate,ed03535f14b9c7a91fe31405bc92a63f163b83e4e1a523abe37c06403bbde246,native_current_session_5m_cache,local_data/longbridge_intraday/us_TSLA_5m_2026-04-28_2026-04-28_longbridge.csv,看涨,376.7600,632.9114,375.9700,378.3400,true,376.02,longbridge_quote_readonly,Trend and pullback proxy found; requires bar-by-bar confirmation before any future status change.,eligible_for_read_only_observation,needs_read_only_bar_close_review,low,2026-04-28,2026-04-28T15:55:00,readonly_observation_candidate,-468.35,-0.47,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009A_pullbacks_bar_counting_basics_high_low_1_2.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_009C_pullbacks_endless_higher_lower_timeframes_countertrend_exit.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_014E_trends_tight_channel_small_pullback.md;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/youtube/fangfangtu/transcripts/Price_Action方方土.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 回调&数K线.pdf;raw:knowledge/raw/notes/方方土视频笔记 - 市场周期.pdf,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-001.json,M10-PA-001,趋势回调二次入场,TSLA,5m
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,ed03535f14b9c7a91fe31405bc92a63f163b83e4e1a523abe37c06403bbde246,derived_from_5m_current,local_data/longbridge_intraday/us_TSLA_5m_2026-04-28_2026-04-28_longbridge.csv,看涨,381.0700,58.6166,372.5400,388.4100,true,376.02,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-28,2026-04-28T10:10:00,readonly_observation_candidate,-296.01,-0.30,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,TSLA,15m
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,ed03535f14b9c7a91fe31405bc92a63f163b83e4e1a523abe37c06403bbde246,native_current_session_5m_cache,local_data/longbridge_intraday/us_TSLA_5m_2026-04-28_2026-04-28_longbridge.csv,看涨,381.8000,53.9957,372.5400,389.1400,true,376.02,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-28,2026-04-28T10:05:00,readonly_observation_candidate,-312.10,-0.31,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,TSLA,5m
今日新扫描机会,m12.scanner-candidate.v1,trigger_candidate,6a15ec9edb2100cde425805d0752471455dce0fbd287d930ffde48fad0f31e84,derived_from_5m_current,local_data/longbridge_intraday/us_AVGO_5m_2026-04-28_2026-04-28_longbridge.csv,看跌,396.8500,57.8035,405.5000,388.4510,true,399.83,longbridge_quote_readonly,"Opening range breakout proxy found in recorded local cache; observe only, no execution.",eligible_for_read_only_observation,needs_read_only_bar_close_review,high,2026-04-28,2026-04-28T11:25:00,readonly_observation_candidate,-172.25,-0.17,观察中,raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_048D_breakout_mode_opening_range.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_008C_candles_ttr_ii_ioi_breakout_mode.md;raw:knowledge/raw/brooks/transcribed_v2/al_brooks_price_action_course_v2/units/video_026A_triangles_ttr_wedges_flags_reversal_or_continuation.md,reports/strategy_lab/m10_price_action_strategy_refresh/backtest_specs/M10-PA-012.json,M10-PA-012,开盘区间突破,AVGO,15m
