sequence,timestamp,equity
0,start,100000.00
1,2024-04-03T12:00:00-04:00,99670.03
2,2024-04-04T11:30:00-04:00,100649.06
3,2024-04-04T12:30:00-04:00,101646.38
4,2024-04-04T15:00:00-04:00,101132.98
5,2024-04-04T14:30:00-04:00,100618.20
6,2024-04-04T13:30:00-04:00,100103.45
7,2024-04-08T09:30:00-04:00,99601.07
8,2024-04-09T10:00:00-04:00,100588.85
9,2024-04-10T09:45:00-04:00,100081.59
10,2024-04-09T10:45:00-04:00,99569.79
11,2024-04-12T09:30:00-04:00,99119.20
12,2024-04-15T09:30:00-04:00,99782.59
13,2024-04-16T09:30:00-04:00,100777.50
14,2024-04-15T13:15:00-04:00,101543.07
15,2024-04-16T09:30:00-04:00,102546.94
16,2024-04-16T09:30:00-04:00,103489.11
17,2024-04-22T09:30:00-04:00,104521.80
18,2024-04-17T11:15:00-04:00,103991.48
19,2024-04-18T10:45:00-04:00,103463.90
20,2024-04-22T09:30:00-04:00,104486.05
21,2024-04-22T09:30:00-04:00,105511.79
22,2024-04-23T12:30:00-04:00,104981.06
23,2024-04-24T09:30:00-04:00,106026.89
24,2024-04-23T13:00:00-04:00,105476.91
25,2024-04-29T09:30:00-04:00,106528.15
26,2024-04-25T12:30:00-04:00,105987.00
27,2024-04-25T11:30:00-04:00,105445.14
28,2024-04-29T09:30:00-04:00,106492.59
29,2024-04-26T09:45:00-04:00,105950.64
30,2024-04-26T15:45:00-04:00,105406.88
31,2024-04-30T09:30:00-04:00,104875.03
32,2024-04-30T09:30:00-04:00,104346.50
33,2024-04-30T09:30:00-04:00,103820.76
34,2024-04-29T13:00:00-04:00,103295.01
35,2024-05-01T09:30:00-04:00,104319.69
36,2024-05-02T10:15:00-04:00,105357.98
37,2024-04-30T14:15:00-04:00,104817.84
38,2024-05-01T15:45:00-04:00,104289.36
39,2024-05-02T14:15:00-04:00,103762.86
40,2024-05-03T10:15:00-04:00,103236.92
41,2024-05-06T11:00:00-04:00,102715.82
42,2024-05-08T09:30:00-04:00,103738.61
43,2024-05-07T11:15:00-04:00,103206.31
44,2024-05-08T09:30:00-04:00,104153.45
45,2024-05-10T10:15:00-04:00,105182.52
46,2024-05-10T09:45:00-04:00,104646.39
47,2024-05-13T09:45:00-04:00,104115.70
48,2024-05-13T09:30:00-04:00,103584.70
49,2024-05-10T11:15:00-04:00,103127.55
50,2024-05-21T15:45:00-04:00,104155.69
51,2024-05-13T11:15:00-04:00,103622.38
52,2024-05-15T09:30:00-04:00,103099.30
53,2024-05-14T12:00:00-04:00,102568.25
54,2024-05-21T11:45:00-04:00,102052.33
55,2024-05-20T09:45:00-04:00,101536.63
56,2024-05-20T09:30:00-04:00,101018.28
57,2024-05-17T13:00:00-04:00,100502.47
58,2024-05-21T09:30:00-04:00,99995.11
59,2024-05-21T14:15:00-04:00,100989.66
60,2024-05-22T14:00:00-04:00,100479.20
61,2024-05-21T14:15:00-04:00,101473.68
62,2024-05-22T09:30:00-04:00,100957.26
63,2024-05-21T14:30:00-04:00,101648.70
64,2024-05-22T09:30:00-04:00,101127.95
65,2024-05-23T09:30:00-04:00,100607.24
66,2024-05-22T13:30:00-04:00,100915.70
67,2024-05-22T15:45:00-04:00,100513.90
68,2024-05-23T13:45:00-04:00,101508.65
69,2024-05-24T09:30:00-04:00,100989.29
70,2024-05-24T09:30:00-04:00,100556.28
71,2024-05-24T11:45:00-04:00,100170.54
72,2024-05-30T10:30:00-04:00,99662.20
73,2024-05-31T12:15:00-04:00,100644.28
74,2024-05-31T12:30:00-04:00,100422.61
75,2024-06-03T12:15:00-04:00,99916.67
76,2024-06-03T12:00:00-04:00,99411.59
77,2024-06-05T11:30:00-04:00,98906.24
78,2024-06-06T13:30:00-04:00,99567.00
79,2024-06-07T09:30:00-04:00,99059.53
80,2024-06-06T14:15:00-04:00,98551.41
81,2024-06-11T09:30:00-04:00,99521.02
82,2024-06-10T15:15:00-04:00,99006.25
83,2024-06-10T15:00:00-04:00,98667.26
84,2024-06-12T10:00:00-04:00,98171.45
85,2024-06-12T09:30:00-04:00,97670.47
86,2024-06-13T09:30:00-04:00,98642.77
87,2024-06-13T09:30:00-04:00,99624.93
88,2024-06-13T09:30:00-04:00,100613.51
