bar_timestamp,direction,event_type,generated_at,hypothetical_entry_price,hypothetical_stop_price,hypothetical_target_price,real_money_actions,review_status,schema_version,stage,strategy_id,strategy_title,symbol,timeframe
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,DIA,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,DIA,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,DIA,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,DIA,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,DIA,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,DIA,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,DIA,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,DIA,5m
2026-05-15T11:40:00,short,今日候选,2026-05-15T23:58:45Z,495.3320,497.6900,493.0420,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,DIA,15m
2026-05-15T11:40:00,short,今日候选,2026-05-15T23:58:45Z,495.3320,497.6900,493.0420,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,DIA,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前日线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M12-FTD-001,方方土日线趋势顺势信号K,DIA,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,VTI,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,VTI,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,VTI,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,VTI,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,VTI,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,VTI,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,VTI,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,VTI,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,VTI,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,VTI,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前日线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M12-FTD-001,方方土日线趋势顺势信号K,VTI,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,VOO,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,VOO,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,VOO,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,VOO,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,VOO,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,VOO,1h
2026-05-15T15:55:00,short,今日候选,2026-05-15T23:58:45Z,679.3700,680.7250,676.6600,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,VOO,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,VOO,5m
2026-05-15T10:40:00,long,今日候选,2026-05-15T23:58:45Z,682.2500,678.4410,685.9390,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,VOO,15m
2026-05-15T10:15:00,long,今日候选,2026-05-15T23:58:45Z,682.1340,678.4410,685.8230,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,VOO,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前日线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M12-FTD-001,方方土日线趋势顺势信号K,VOO,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,IVV,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,IVV,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,IVV,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,IVV,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,IVV,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,IVV,1h
2026-05-15T15:55:00,short,今日候选,2026-05-15T23:58:45Z,742.3500,743.8850,739.2800,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,IVV,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,IVV,5m
2026-05-15T10:40:00,long,今日候选,2026-05-15T23:58:45Z,745.5350,741.4000,749.4900,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,IVV,15m
2026-05-15T10:15:00,long,今日候选,2026-05-15T23:58:45Z,745.4450,741.4000,749.4000,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,IVV,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前日线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M12-FTD-001,方方土日线趋势顺势信号K,IVV,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLK,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLK,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLK,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLK,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLK,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLK,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLK,15m
2026-05-15T15:55:00,short,今日候选,2026-05-15T23:58:45Z,176.3400,176.4600,176.1000,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLK,5m
2026-05-15T10:10:00,long,今日候选,2026-05-15T23:58:45Z,176.5900,174.6300,178.3100,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,XLK,15m
2026-05-15T10:10:00,long,今日候选,2026-05-15T23:58:45Z,176.5900,174.6300,178.3100,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,XLK,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前日线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M12-FTD-001,方方土日线趋势顺势信号K,XLK,1d
2026-05-15T16:00:00-04:00,long,今日候选,2026-05-15T23:58:45Z,51.4950,50.8100,52.8650,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLF,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLF,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLF,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLF,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLF,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLF,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLF,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLF,5m
2026-05-15T11:40:00,short,今日候选,2026-05-15T23:58:45Z,51.0900,51.4950,50.7500,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,XLF,15m
2026-05-15T11:35:00,short,今日候选,2026-05-15T23:58:45Z,51.1450,51.4950,50.8050,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,XLF,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前日线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M12-FTD-001,方方土日线趋势顺势信号K,XLF,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLE,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLE,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLE,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-001,趋势回调二次入场,XLE,5m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLE,1d
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLE,1h
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLE,15m
,,未触发,2026-05-15T23:58:45Z,,,,false,当前K线未触发,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-002,突破后续跟进,XLE,5m
2026-05-15T14:25:00,long,今日候选,2026-05-15T23:58:45Z,59.1850,58.4750,59.8400,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,XLE,15m
2026-05-15T13:05:00,long,今日候选,2026-05-15T23:58:45Z,59.1500,58.4750,59.8050,false,needs_read_only_bar_close_review,m12.12.observation-event.v1,M12.12.daily_observation_loop,M10-PA-012,开盘区间突破,XLE,5m
