trade_id,session_key,split,direction,filter_state,breakout_timestamp,follow_through_timestamp,entry_timestamp,exit_timestamp,time_bucket,raw_entry_price,executed_entry_price,stop_price,target_price,exit_price,executed_exit_price,risk_per_share,quantity,pnl_per_share,pnl_cash,pnl_r,equity_after_close,exit_reason
PA-SC-002-2026-03-31-02,2026-03-31,validation,long,neutral,2026-03-31T12:20:00-04:00,2026-03-31T12:30:00-04:00,2026-03-31T12:35:00-04:00,2026-03-31T12:35:00-04:00,midday_1100_1330,641.9600,642.0342,641.3900,642.5300,642.5300,642.4557,0.5700,38,0.4215,16.0170,0.7395,24726.4570,target_hit
PA-SC-002-2026-03-31-03,2026-03-31,validation,long,neutral,2026-03-31T15:35:00-04:00,2026-03-31T15:45:00-04:00,2026-03-31T15:50:00-04:00,2026-03-31T15:55:00-04:00,late_1330_1600,650.8800,650.9551,649.6500,652.1100,649.6500,649.5750,1.2300,37,-1.3801,-51.0637,-1.1220,24675.3933,stop_hit
PA-SC-002-2026-04-01-01,2026-04-01,validation,short,neutral,2026-04-01T13:45:00-04:00,2026-04-01T13:50:00-04:00,2026-04-01T13:55:00-04:00,2026-04-01T13:55:00-04:00,late_1330_1600,657.5500,657.4742,658.0370,657.0630,657.0630,657.1387,0.4870,37,0.3355,12.4135,0.6889,24687.8068,target_hit
PA-SC-002-2026-04-01-02,2026-04-01,validation,short,trend_supportive,2026-04-01T14:00:00-04:00,2026-04-01T14:05:00-04:00,2026-04-01T14:10:00-04:00,2026-04-01T14:15:00-04:00,late_1330_1600,656.1000,656.0244,656.9500,655.2500,655.2500,655.3255,0.8500,37,0.6989,25.8593,0.8222,24713.6661,target_hit
PA-SC-002-2026-04-01-03,2026-04-01,validation,short,trend_supportive,2026-04-01T14:20:00-04:00,2026-04-01T14:30:00-04:00,2026-04-01T14:35:00-04:00,2026-04-01T14:40:00-04:00,late_1330_1600,654.0100,653.9346,655.2400,652.7800,655.2400,655.3155,1.2300,37,-1.3809,-51.0933,-1.1227,24662.5728,stop_hit
PA-SC-002-2026-04-01-04,2026-04-01,validation,long,neutral,2026-04-01T15:15:00-04:00,2026-04-01T15:20:00-04:00,2026-04-01T15:25:00-04:00,2026-04-01T15:40:00-04:00,late_1330_1600,655.6950,655.7706,654.9600,656.4300,656.4300,656.3544,0.7350,37,0.5838,21.6006,0.7943,24684.1734,target_hit
PA-SC-002-2026-04-06-01,2026-04-06,out_of_sample,long,neutral,2026-04-06T14:15:00-04:00,2026-04-06T14:20:00-04:00,2026-04-06T14:25:00-04:00,2026-04-06T15:55:00-04:00,late_1330_1600,658.3900,658.4658,657.2700,659.5100,658.8700,658.7941,1.1200,37,0.3283,12.1471,0.2931,24696.3205,session_close
PA-SC-002-2026-04-07-01,2026-04-07,out_of_sample,short,neutral,2026-04-07T10:55:00-04:00,2026-04-07T11:00:00-04:00,2026-04-07T11:05:00-04:00,2026-04-07T11:15:00-04:00,open_0930_1100,651.8600,651.7848,653.7600,649.9600,653.7600,653.8354,1.9000,37,-2.0506,-75.8722,-1.0793,24620.4483,stop_hit
PA-SC-002-2026-04-07-02,2026-04-07,out_of_sample,short,neutral,2026-04-07T14:40:00-04:00,2026-04-07T14:45:00-04:00,2026-04-07T14:50:00-04:00,2026-04-07T14:55:00-04:00,late_1330_1600,655.0200,654.9445,656.0500,653.9900,653.9900,654.0654,1.0300,37,0.8791,32.5267,0.8535,24652.9750,target_hit
PA-SC-002-2026-04-08-01,2026-04-08,out_of_sample,short,neutral,2026-04-08T10:30:00-04:00,2026-04-08T10:35:00-04:00,2026-04-08T10:40:00-04:00,2026-04-08T10:55:00-04:00,open_0930_1100,673.3209,673.2436,674.3600,672.2818,672.2818,672.3590,1.0391,36,0.8846,31.8456,0.8513,24684.8206,target_hit
PA-SC-002-2026-04-08-02,2026-04-08,out_of_sample,long,neutral,2026-04-08T11:35:00-04:00,2026-04-08T11:45:00-04:00,2026-04-08T11:50:00-04:00,2026-04-08T12:45:00-04:00,midday_1100_1330,674.7900,674.8675,673.6200,675.9600,675.9600,675.8824,1.1700,36,1.0149,36.5364,0.8674,24721.3570,target_hit
PA-SC-002-2026-04-08-03,2026-04-08,out_of_sample,long,neutral,2026-04-08T13:55:00-04:00,2026-04-08T14:00:00-04:00,2026-04-08T14:05:00-04:00,2026-04-08T14:15:00-04:00,late_1330_1600,676.2200,676.2976,675.5600,676.8800,675.5600,675.4824,0.6600,36,-0.8152,-29.3472,-1.2352,24692.0098,stop_hit
PA-SC-002-2026-04-08-04,2026-04-08,out_of_sample,short,neutral,2026-04-08T14:40:00-04:00,2026-04-08T14:45:00-04:00,2026-04-08T14:50:00-04:00,2026-04-08T14:55:00-04:00,late_1330_1600,673.8250,673.7476,674.6000,673.0500,673.0500,673.1273,0.7750,36,0.6203,22.3308,0.8004,24714.3406,target_hit
PA-SC-002-2026-04-08-05,2026-04-08,out_of_sample,long,neutral,2026-04-08T15:30:00-04:00,2026-04-08T15:35:00-04:00,2026-04-08T15:40:00-04:00,2026-04-08T15:55:00-04:00,late_1330_1600,674.7900,674.8675,673.4800,676.1000,675.8800,675.8024,1.3100,36,0.9349,33.6564,0.7137,24747.9970,session_close
PA-SC-002-2026-04-09-01,2026-04-09,out_of_sample,long,neutral,2026-04-09T10:50:00-04:00,2026-04-09T10:55:00-04:00,2026-04-09T11:00:00-04:00,2026-04-09T11:00:00-04:00,open_0930_1100,675.3100,675.3875,674.6800,675.9400,674.6800,674.6025,0.6300,36,-0.7850,-28.2600,-1.2460,24719.7370,stop_hit
PA-SC-002-2026-04-09-02,2026-04-09,out_of_sample,long,neutral,2026-04-09T11:10:00-04:00,2026-04-09T11:15:00-04:00,2026-04-09T11:20:00-04:00,2026-04-09T11:30:00-04:00,midday_1100_1330,676.4200,676.4976,674.9900,677.8500,677.8500,677.7722,1.4300,36,1.2746,45.8856,0.8913,24765.6226,target_hit
PA-SC-002-2026-04-09-03,2026-04-09,out_of_sample,long,neutral,2026-04-09T11:50:00-04:00,2026-04-09T11:55:00-04:00,2026-04-09T12:00:00-04:00,2026-04-09T12:00:00-04:00,midday_1100_1330,678.8200,678.8979,677.8400,679.8000,679.8000,679.7220,0.9800,36,0.8241,29.6676,0.8409,24795.2902,target_hit
PA-SC-002-2026-04-09-04,2026-04-09,out_of_sample,long,neutral,2026-04-09T13:00:00-04:00,2026-04-09T13:05:00-04:00,2026-04-09T13:10:00-04:00,2026-04-09T13:30:00-04:00,midday_1100_1330,680.4900,680.5680,679.7000,681.2800,679.7000,679.6220,0.7900,36,-0.9460,-34.0560,-1.1975,24761.2342,stop_hit
PA-SC-002-2026-04-10-01,2026-04-10,out_of_sample,short,neutral,2026-04-10T11:35:00-04:00,2026-04-10T11:45:00-04:00,2026-04-10T11:50:00-04:00,2026-04-10T11:55:00-04:00,midday_1100_1330,680.2400,680.1620,680.9900,679.4900,679.4900,679.5679,0.7500,36,0.5941,21.3876,0.7921,24782.6218,target_hit
PA-SC-002-2026-04-10-02,2026-04-10,out_of_sample,short,neutral,2026-04-10T12:35:00-04:00,2026-04-10T12:40:00-04:00,2026-04-10T12:45:00-04:00,2026-04-10T12:50:00-04:00,midday_1100_1330,678.6700,678.5921,679.4200,677.9200,679.4200,679.4979,0.7500,36,-0.9058,-32.6088,-1.2077,24750.0130,stop_hit
