grain,strategy_id,timeframe,symbol,cost_tier,account_count,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,quality_flag,status
strategy_timeframe_symbol,M10-PA-003,1h,TSLA,baseline,1,100000.00,103311.62,3311.62,3.3116,51,0.3725,1.2034,5301.14,5.3011,7,1031.03,-508.69,159.4118,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,1h,TSLA,stress_high,1,100000.00,102632.43,2632.43,2.6324,51,0.3725,1.1579,5491.84,5.4918,7,1016.17,-521.09,159.4118,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,1h,TSLA,stress_low,1,100000.00,103141.42,3141.42,3.1414,51,0.3725,1.1918,5348.96,5.3490,7,1027.31,-511.80,159.4118,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,NVDA,baseline,1,100000.00,110567.55,10567.55,10.5676,820,0.3500,1.0380,18845.35,18.8454,12,1004.71,-521.17,254.2744,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,NVDA,stress_high,1,100000.00,71692.98,-28307.02,-28.3070,820,0.3500,0.8885,45615.10,45.6151,12,786.09,-476.39,254.2744,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,NVDA,stress_low,1,100000.00,99220.41,-779.59,-0.7796,820,0.3500,0.9971,24205.61,24.2056,12,943.72,-509.62,254.2744,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,QQQ,baseline,1,100000.00,69906.32,-30093.68,-30.0937,910,0.3154,0.8419,41578.92,41.5789,25,558.38,-305.54,257.1826,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,QQQ,stress_high,1,100000.00,35896.04,-64103.96,-64.1040,910,0.3143,0.6259,64103.96,64.1040,25,375.03,-274.62,257.1826,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,QQQ,stress_low,1,100000.00,59179.27,-40820.73,-40.8207,910,0.3154,0.7799,47710.61,47.7106,25,504.05,-297.73,257.1826,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,SPY,baseline,1,100000.00,95089.76,-4910.24,-4.9102,937,0.3575,0.9716,12665.80,12.6658,12,502.04,-287.53,273.8166,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,SPY,stress_high,1,100000.00,46481.56,-53518.44,-53.5184,937,0.3533,0.6543,53627.58,53.6276,12,306.06,-255.49,273.8166,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,SPY,stress_low,1,100000.00,79513.93,-20486.07,-20.4861,937,0.3575,0.8784,24103.97,24.1040,12,441.93,-279.95,273.8166,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,TSLA,baseline,1,100000.00,87092.71,-12907.29,-12.9073,843,0.3345,0.9481,22959.98,22.9600,12,836.29,-443.39,294.2541,TSLA,TSLA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,TSLA,stress_high,1,100000.00,59150.16,-40849.84,-40.8498,843,0.3345,0.8205,44340.05,44.3401,12,662.06,-405.62,294.2541,TSLA,TSLA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-003,5m,TSLA,stress_low,1,100000.00,79065.02,-20934.98,-20.9350,843,0.3345,0.9139,26572.42,26.5724,12,788.19,-433.52,294.2541,TSLA,TSLA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,NVDA,baseline,1,100000.00,90873.23,-9126.77,-9.1268,241,0.3154,0.8818,17111.78,17.1118,13,896.02,-468.03,266.6232,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,NVDA,stress_high,1,100000.00,83833.86,-16166.14,-16.1661,241,0.3154,0.7970,21214.47,21.2145,13,835.17,-482.66,266.6232,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,NVDA,stress_low,1,100000.00,89060.12,-10939.88,-10.9399,241,0.3154,0.8595,18158.31,18.1583,13,880.42,-471.83,266.6232,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,15m,QQQ,baseline,1,100000.00,105724.43,5724.43,5.7244,226,0.3584,1.0897,11602.36,11.6024,20,858.88,-440.31,197.1903,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
